"Source:","C:\Users\Skublics Imre\Asztal\Operation Scavanger\work\7.félév\Szakdoga\Controller_Area_Network_Diagnostic_Instrument (CANDI)\IC Design\Controller_Area_Network_Diagnostic_Instrument (CANDI).kicad_sch"
"Date:","2023. 11. 23. 5:48:49"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","1","C1","0.22uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","",""
"2","1","C2","0.1uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","",""
"3","1","C3","0.1uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","",""
"4","1","C4","4.7uF","Device:C_Small","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~","","","",""
"5","2","C5, C6","560pF","Device:C_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","","","",""
"6","2","C7, C8","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","",""
"7","2","D1, D6","SB570","Device:D_Small","Diode_THT:D_5W_P10.16mm_Horizontal","~","","","D","1=K 2=A"
"8","2","D3, D5","BZX55C3V6","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","","",""
"9","1","D4","BZX55C9V1","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","","",""
"10","1","D7","LED","Device:LED","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~","","","",""
"11","5","DMX_1, DMX_2, DMX_3, DMX_4, DMX_5","74HC4051","74xx:74HC4051","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf","","","",""
"12","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","",""
"13","3","J1, J3, J4","Screw_Terminal_01x05","Connector:Screw_Terminal_01x05","Connector_TE-Connectivity:TE_826576-5_1x05_P3.96mm_Vertical","~","","","",""
"14","1","J2","Jack-DC (9V+charge) ","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~","","","",""
"15","2","J5, J6","Conn_01x15_Socket","Connector:Conn_01x15_Socket","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~","","","",""
"16","1","Q1","BS250","Transistor_FET:BS250","Package_TO_SOT_THT:TO-92_Inline","http://www.vishay.com/docs/70209/70209.pdf","","","",""
"17","1","R1","120R","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","",""
"18","4","R2, R4, R5, R6","4k7","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","",""
"19","1","R3","10k","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","",""
"20","2","R7, R8","100R","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","",""
"21","2","R9, R10","500","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","",""
"22","2","SHIFT_REG_1, SHIFT_REG_2","74HC164","74xx:74HC164","Package_DIP:DIP-14_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT164.pdf","","","",""
"23","1","SW1","SW_DIP_x03","Switch:SW_DIP_x03","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm","~","","","",""
"24","1","U1","LM7805_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","","","",""
"25","1","U2","MCP2551-I-P","Interface_CAN_LIN:MCP2551-I-P","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf","","","",""
"26","1","U3","AMS1117","Regulator_Linear:AMS1117","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","",""
